policy,sweep,zero_based_site_1,zero_based_site_2,zero_based_site_3,zero_based_site_4,zero_based_site_5,zero_based_site_6,one_based_site_1,one_based_site_2,one_based_site_3,one_based_site_4,one_based_site_5,one_based_site_6
canonical,1,4,2,0,3,5,1,5,3,1,4,6,2
canonical,2,0,4,3,5,2,1,1,5,4,6,3,2
canonical,3,5,0,4,2,1,3,6,1,5,3,2,4
canonical,4,5,2,1,0,4,3,6,3,2,1,5,4
canonical,5,0,5,1,2,4,3,1,6,2,3,5,4
canonical,6,1,0,3,5,4,2,2,1,4,6,5,3
canonical,7,5,0,2,4,3,1,6,1,3,5,4,2
canonical,8,2,1,0,4,3,5,3,2,1,5,4,6
canonical,9,0,4,1,3,5,2,1,5,2,4,6,3
canonical,10,0,1,2,3,4,5,1,2,3,4,5,6
fresh_generator,1,2,5,4,1,3,0,3,6,5,2,4,1
fresh_generator,2,3,5,0,2,1,4,4,6,1,3,2,5
fresh_generator,3,5,0,1,4,2,3,6,1,2,5,3,4
fresh_generator,4,5,4,0,3,1,2,6,5,1,4,2,3
fresh_generator,5,2,1,5,4,0,3,3,2,6,5,1,4
fresh_generator,6,0,5,3,4,2,1,1,6,4,5,3,2
fresh_generator,7,2,3,1,4,5,0,3,4,2,5,6,1
fresh_generator,8,2,0,4,1,3,5,3,1,5,2,4,6
fresh_generator,9,0,3,1,4,2,5,1,4,2,5,3,6
fresh_generator,10,5,2,0,4,3,1,6,3,1,5,4,2
