model,sites,target_time_gap,Delta,tau,target_time,requested_half_grid,K,N,realized_time,realized_time_gap,next_node_time,last_node_slack,next_node_excess,last_node_gap,next_node_gap,historical_target_time,historical_target_time_difference,original_cutoff_tolerance,literal_equals_tolerant,outer_nodes_present_in_full_reference,endpoint_quadrature_weight,endpoint_weight_convention,source_filter,source_filter_sha256,source_dynamics,nodes_equal_source_cutoff,reference_coefficients_equal_source_cutoff,nodes_equal_dynamics_inputs,coefficients_equal_dynamics_inputs
TFIM4,4,1.0,0.18926243805955667,0.6283185307179586,5.283668594004491,8.409219743952194,8,17,5.026548245743669,0.9513367760134344,5.654866776461628,0.2571203482608224,0.3711981824571362,0.9513367760134344,1.0702538730151137,5.2836685940044825,-8.881784197001252e-15,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM4_TD1.npz,b00002f405b9206bade4dc8daf0384e4cb0f1a6d0b45bfdf272bf3ce14a1ceb3,contrast_dynamics/TFIM4_TD1.npz,True,True,True,True
TFIM4,4,1.5,0.18926243805955667,0.6283185307179586,7.9255028910067375,12.613829615928294,12,25,7.5398223686155035,1.4270051640201515,8.168140899333462,0.38568052239123407,0.24263800832672455,1.4270051640201515,1.5459222610218308,7.925502891006723,-1.4210854715202004e-14,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM4_TD1.5.npz,aea1b1f51d96cf76590cd517146c59778df4d89574b2a1caa033765d1fd81497,contrast_dynamics/TFIM4_TD1.5.npz,True,True,True,True
TFIM4,4,2.0,0.18926243805955667,0.6283185307179586,10.567337188008983,16.81843948790439,16,33,10.053096491487338,1.9026735520268687,10.681415022205297,0.5142406965216448,0.11407783419631379,1.9026735520268687,2.021590649028548,10.567337188008965,-1.7763568394002505e-14,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM4_TD2.npz,b7faa38cc94785112b01c4b37f11bff871f65316d29760765bd6df7a0c8b60e2,contrast_dynamics/TFIM4_TD2.npz,True,True,True,True
TFIM4,4,2.5,0.18926243805955667,0.6283185307179586,13.209171485011229,21.02304935988049,21,43,13.194689145077131,2.497259037035265,13.82300767579509,0.014482339934097865,0.6138361907838608,2.497259037035265,2.6161761340369445,13.209171485011206,-2.3092638912203256e-14,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM4_TD2.5.npz,2f58f868333edaa0ecd176cba957b4183b1aef53b66d463b77976f7ef10c195e,contrast_dynamics/TFIM4_TD2.5.npz,True,True,True,True
TFIM4,4,3.0,0.18926243805955667,0.6283185307179586,15.851005782013475,25.227659231856588,25,51,15.707963267948966,2.9729274250419824,16.336281798666924,0.14304251406450952,0.4852760166534491,2.9729274250419824,3.0918445220436617,15.851005782013447,-2.842170943040401e-14,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM4_TD3.npz,311dcae9809f5b8bb28b0f6c7582f4d26a5df6d16aa567d96cec8313cccef87a,contrast_dynamics/TFIM4_TD3.npz,True,True,True,True
TFIM4,4,4.0,0.18926243805955667,0.6283185307179586,21.134674376017966,33.63687897580878,33,67,20.734511513692635,3.9242642010554167,21.362830044410593,0.40016286232533105,0.22815566839262758,3.9242642010554167,4.043181298057096,21.13467437601793,-3.552713678800501e-14,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM4_TD4.npz,035f5f71cd0ea1a762b2cf2a044aa79a737c13ad0058d918c43bf12942d40bad,contrast_dynamics/TFIM4_TD4.npz,True,True,True,True
TFIM4,4,5.0,0.18926243805955667,0.6283185307179586,26.418342970022458,42.04609871976098,42,85,26.389378290154262,4.99451807407053,27.01769682087222,0.02896467986819573,0.5993538508497629,4.99451807407053,5.11343517107221,26.41834297002241,-4.618527782440651e-14,1e-09,True,False,0.3141592653589793,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM4_TD5.npz,074c5a638c5b362dbfb5b0479614d052c18426593d86614f1ce0c9ad0d75e639,contrast_dynamics/TFIM4_TD5.npz,True,True,True,True
TFIM6,6,1.0,0.09740615570062361,0.6283185307179586,10.266291619941201,16.33931058536544,16,33,10.053096491487338,0.9792334821232086,10.681415022205297,0.21319512845386335,0.4151234022640953,0.9792334821232086,1.040435574755909,10.266291619941365,1.6342482922482304e-13,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM6_TD1.npz,6cfd55a9c09ae49d5e5626c418674e1765edb1454e95f5f9e7e71cdf5a676517,contrast_dynamics/TFIM6_TD1.npz,True,True,True,True
TFIM6,6,1.5,0.09740615570062361,0.6283185307179586,15.399437429911801,24.50896587804816,24,49,15.079644737231007,1.4688502231848128,15.707963267948966,0.31979269268079413,0.3085258380371645,1.4688502231848128,1.5300523158175134,15.399437429912048,2.469136006766348e-13,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM6_TD1.5.npz,605392e19201363242260420e709ea1323651824dfd880abd8db6131d9f2acd4,contrast_dynamics/TFIM6_TD1.5.npz,True,True,True,True
TFIM6,6,2.0,0.09740615570062361,0.6283185307179586,20.532583239882403,32.67862117073088,32,65,20.106192982974676,1.9584669642464172,20.734511513692635,0.4263902569077267,0.20192827381023193,1.9584669642464172,2.019669056879118,20.53258323988273,3.268496584496461e-13,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM6_TD2.npz,7339dd6500c887f2a75aefbf920cadd5e77eb18073a75d77f52ebe2f4b960d24,contrast_dynamics/TFIM6_TD2.npz,True,True,True,True
TFIM6,6,2.5,0.09740615570062361,0.6283185307179586,25.665729049853002,40.8482764634136,40,81,25.132741228718345,2.4480837053080213,25.761059759436304,0.5329878211346575,0.09533070958330114,2.4480837053080213,2.509285797940722,25.66572904985341,4.085620730620576e-13,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM6_TD2.5.npz,118113dae708fda32e122530b726b86d88793731c50f15a3a7abf872b4fef282,contrast_dynamics/TFIM6_TD2.5.npz,True,True,True,True
TFIM6,6,3.0,0.09740615570062361,0.6283185307179586,30.798874859823602,49.01793175609632,49,99,30.787608005179973,2.998902539002326,31.41592653589793,0.011266854643629642,0.617051676074329,2.998902539002326,3.060104631635027,30.798874859824096,4.938272013532696e-13,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM6_TD3.npz,bb6d56f389fe37e8b9ab14e4dc6235485bba36650157ff95a64699f83ca881ea,contrast_dynamics/TFIM6_TD3.npz,True,True,True,True
TFIM6,6,4.0,0.09740615570062361,0.6283185307179586,41.065166479764805,65.35724234146176,65,131,40.840704496667314,3.978136021125535,41.46902302738527,0.2244619830974912,0.40385654762046386,3.978136021125535,4.039338113758236,41.06516647976546,6.536993168992922e-13,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM6_TD4.npz,e3b745a8a27c63f2638ec56e08d0bdbe9bdd855e55d3c0bcad25d9fbfeb46171,contrast_dynamics/TFIM6_TD4.npz,True,True,True,True
TFIM6,6,5.0,0.09740615570062361,0.6283185307179586,51.331458099706005,81.6965529268272,81,163,50.89380098815465,4.957369503248744,51.52211951887261,0.4376571115513528,0.1906614191666023,4.957369503248744,5.018571595881444,51.33145809970682,8.171241461241152e-13,1e-09,True,True,0.6283185307179586,Inherited full-reference trapezoid; retained endpoints are halved only if they are original endpoints,empirical/reconstructed_filters/TFIM6_TD5.npz,136463b20baa03c4e77d19602bca49d52d8bb917018b0807c9fd662bdad3b822,contrast_dynamics/TFIM6_TD5.npz,True,True,True,True
